0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:21:15 +0100] "GET /dst/css/progetto.css HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:21:45 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:21:45 +0100] "GET /dst/css/progetto.css HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:22:14 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:22:14 +0100] "GET /dst/css/progetto.css HTTP/1.1" 200 871
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:22:33 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:22:33 +0100] "GET /dst/css/progetto.css HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:24:07 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:24:07 +0100] "GET /dst/css/progetto.css HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:24:09 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:24:09 +0100] "GET /dst/css/progetto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:24:10 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:24:10 +0100] "GET /dst/css/progetto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Mar/2020:14:24:26 +0100] "GET /dst/introriserva.jsp HTTP/1.1" 200 543
